time_step,weekend,rushhour
5003,2023072811,0,1
5004,2023072812,0,1
5005,2023072813,0,1
5006,2023072814,0,1
5007,2023072815,0,1
5008,2023072816,0,1
5009,2023072817,0,1
5010,2023072818,0,1
5011,2023072819,0,1
5012,2023072820,0,1
5013,2023072821,0,0
5014,2023072822,0,0
5015,2023072823,0,0
5016,2023072900,0,0
5017,2023072901,0,0
5018,2023072902,0,0
5019,2023072903,0,0
5020,2023072904,0,0
5021,2023072905,0,0
5022,2023072906,0,1
5023,2023072907,0,1
5024,2023072908,0,1
5025,2023072909,0,1
5026,2023072910,0,1
5027,2023072911,0,1
5028,2023072912,0,1
5029,2023072913,0,1
5030,2023072914,0,1
5031,2023072915,0,1
5032,2023072916,0,1
5033,2023072917,0,1
5034,2023072918,0,1
5035,2023072919,0,1
5036,2023072920,0,1
5037,2023072921,0,0
5038,2023072922,0,0
5039,2023072923,0,0
5040,2023073000,0,0
5041,2023073001,0,0
5042,2023073002,0,0
5043,2023073003,0,0
5044,2023073004,0,0
5045,2023073005,0,0
5046,2023073006,0,1
5047,2023073007,0,1
5048,2023073008,0,1
5049,2023073009,0,1
5050,2023073010,0,1
5051,2023073011,0,1
5052,2023073012,0,1
5053,2023073013,0,1
5054,2023073014,0,1
5055,2023073015,0,1
5056,2023073016,0,1
5057,2023073017,0,1
5058,2023073018,0,1
5059,2023073019,0,1
5060,2023073020,0,1
5061,2023073021,0,0
5062,2023073022,0,0
5063,2023073023,0,0
5064,2023073100,0,0
5065,2023073101,0,0
5066,2023073102,0,0
5067,2023073103,0,0
5068,2023073104,0,0
5069,2023073105,0,0
5070,2023073106,0,1
5071,2023073107,0,1
5072,2023073108,0,1
5073,2023073109,0,1
5074,2023073110,0,1
5075,2023073111,0,1
5076,2023073112,0,1
5077,2023073113,0,1
5078,2023073114,0,1
5079,2023073115,0,1
5080,2023073116,0,1
5081,2023073117,0,1
5082,2023073118,0,1
5083,2023073119,0,1
5084,2023073120,0,1
5085,2023073121,0,0
5086,2023073122,0,0
5087,2023073123,0,0
5088,2023080100,0,0
5089,2023080101,0,0
5090,2023080102,0,0
5091,2023080103,0,0
5092,2023080104,0,0
5093,2023080105,0,0
5094,2023080106,0,1
5095,2023080107,0,1
5096,2023080108,0,1
5097,2023080109,0,1
5098,2023080110,0,1
5099,2023080111,0,1
5100,2023080112,0,1
5101,2023080113,0,1
5102,2023080114,0,1
5103,2023080115,0,1
5104,2023080116,0,1
5105,2023080117,0,1
5106,2023080118,0,1
5107,2023080119,0,1
5108,2023080120,0,1
5109,2023080121,0,0
5110,2023080122,0,0
5111,2023080123,0,0
5112,2023080200,0,0
5113,2023080201,0,0
5114,2023080202,0,0
5115,2023080203,0,0
5116,2023080204,0,0
5117,2023080205,0,0
5118,2023080206,0,1
5119,2023080207,0,1
5120,2023080208,0,1
5121,2023080209,0,1
5122,2023080210,0,1
5123,2023080211,0,1
5124,2023080212,0,1
5125,2023080213,0,1
5126,2023080214,0,1
5127,2023080215,0,1
5128,2023080216,0,1
5129,2023080217,0,1
5130,2023080218,0,1
5131,2023080219,0,1
5132,2023080220,0,1
5133,2023080221,0,0
5134,2023080222,0,0
5135,2023080223,0,0
5136,2023080300,0,0
5137,2023080301,0,0
5138,2023080302,0,0
5139,2023080303,0,0
5140,2023080304,0,0
5141,2023080305,0,0
5142,2023080306,0,1
5143,2023080307,0,1
5144,2023080308,0,1
5145,2023080309,0,1
5146,2023080310,0,1
5147,2023080311,0,1
5148,2023080312,0,1
5149,2023080313,0,1
5150,2023080314,0,1
5151,2023080315,0,1
5152,2023080316,0,1
5153,2023080317,0,1
5154,2023080318,0,1
5155,2023080319,0,1
5156,2023080320,0,1
5157,2023080321,0,0
5158,2023080322,0,0
5159,2023080323,0,0
5160,2023080400,0,0
5161,2023080401,0,0
5162,2023080402,0,0
5163,2023080403,0,0
5164,2023080404,0,0
5165,2023080405,0,0
5166,2023080406,0,1
5167,2023080407,0,1
5168,2023080408,0,1
5169,2023080409,0,1
5170,2023080410,0,1
5171,2023080411,0,1
5172,2023080412,0,1
5173,2023080413,0,1
5174,2023080414,0,1
5175,2023080415,0,1
5176,2023080416,0,1
5177,2023080417,0,1
5178,2023080418,0,1
5179,2023080419,0,1
5180,2023080420,0,1
5181,2023080421,0,0
5182,2023080422,0,0
5183,2023080423,0,0
5184,2023080500,0,0
5185,2023080501,0,0
5186,2023080502,0,0
5187,2023080503,0,0
5188,2023080504,0,0
5189,2023080505,0,0
5190,2023080506,0,1
5191,2023080507,0,1
5192,2023080508,0,1
5193,2023080509,0,1
5194,2023080510,0,1
5195,2023080511,0,1
5196,2023080512,0,1
5197,2023080513,0,1
5198,2023080514,0,1
5199,2023080515,0,1
5200,2023080516,0,1
5201,2023080517,0,1
5202,2023080518,0,1
5203,2023080519,0,1
5204,2023080520,0,1
5205,2023080521,0,0
5206,2023080522,0,0
5207,2023080523,0,0
5208,2023080600,0,0
5209,2023080601,0,0
5210,2023080602,0,0
5211,2023080603,0,0
5212,2023080604,0,0
5213,2023080605,0,0
5214,2023080606,0,1
5215,2023080607,0,1
5216,2023080608,0,1
5217,2023080609,0,1
5218,2023080610,0,1
5219,2023080611,0,1
